point_id,x,y,z,vol_min_x,vol_min_y,vol_min_z,vol_max_x,vol_max_y,vol_max_z
0,-69.81075,3.459836,-73.06552,-77.99986,-9.130241,-81.25932,-61.62162,-2.860859,-64.87173
1,-69.81075,9.729219,-73.06552,-77.99986,-2.860859,-81.25932,-61.62162,3.408524,-64.87173
2,-69.81075,15.9986,-73.06552,-77.99986,3.408524,-81.25932,-61.62162,9.677906,-64.87173
3,-69.81075,22.26798,-73.06552,-77.99986,9.677906,-81.25932,-61.62162,15.94729,-64.87173
4,-69.81075,28.53737,-73.06552,-77.99986,15.94729,-81.25932,-61.62162,22.21667,-64.87173
5,-69.81075,5.064596,-56.67794,-77.99986,-9.130241,-64.87173,-61.62162,-2.860859,-48.48415
6,-69.81075,11.33398,-56.67794,-77.99986,-2.860859,-64.87173,-61.62162,3.408524,-48.48415
7,-69.81075,17.60336,-56.67794,-77.99986,3.408524,-64.87173,-61.62162,9.677906,-48.48415
8,-69.81075,23.87274,-56.67794,-77.99986,9.677906,-64.87173,-61.62162,15.94729,-48.48415
9,-69.81075,30.14213,-56.67794,-77.99986,15.94729,-64.87173,-61.62162,22.21667,-48.48415
10,-69.81075,5.036982,-40.29035,-77.99986,-9.130241,-48.48415,-61.62162,-2.860859,-32.09656
11,-69.81075,11.30636,-40.29035,-77.99986,-2.860859,-48.48415,-61.62162,3.408524,-32.09656
12,-69.81075,17.57575,-40.29035,-77.99986,3.408524,-48.48415,-61.62162,9.677906,-32.09656
13,-69.81075,23.84513,-40.29035,-77.99986,9.677906,-48.48415,-61.62162,15.94729,-32.09656
14,-69.81075,30.11451,-40.29035,-77.99986,15.94729,-48.48415,-61.62162,22.21667,-32.09656
15,-69.81075,1.630197,-23.90277,-77.99986,-9.130241,-32.09656,-61.62162,-2.860859,-15.70898
16,-69.81075,7.89958,-23.90277,-77.99986,-2.860859,-32.09656,-61.62162,3.408524,-15.70898
17,-69.81075,14.16896,-23.90277,-77.99986,3.408524,-32.09656,-61.62162,9.677906,-15.70898
18,-69.81075,20.43834,-23.90277,-77.99986,9.677906,-32.09656,-61.62162,15.94729,-15.70898
19,-69.81075,26.70773,-23.90277,-77.99986,15.94729,-32.09656,-61.62162,22.21667,-15.70898
20,-69.81075,1.5,-7.515184,-77.99986,-9.130241,-15.70898,-61.62162,-2.860859,0.6786079
21,-69.81075,7.769382,-7.515184,-77.99986,-2.860859,-15.70898,-61.62162,3.408524,0.6786079
22,-69.81075,14.03876,-7.515184,-77.99986,3.408524,-15.70898,-61.62162,9.677906,0.6786079
23,-69.81075,20.30815,-7.515184,-77.99986,9.677906,-15.70898,-61.62162,15.94729,0.6786079
24,-69.81075,26.57753,-7.515184,-77.99986,15.94729,-15.70898,-61.62162,22.21667,0.6786079
25,-69.81075,1.499999,8.8724,-77.99986,-9.130241,0.6786079,-61.62162,-2.860859,17.06619
26,-69.81075,7.769382,8.8724,-77.99986,-2.860859,0.6786079,-61.62162,3.408524,17.06619
27,-69.81075,14.03876,8.8724,-77.99986,3.408524,0.6786079,-61.62162,9.677906,17.06619
28,-69.81075,20.30815,8.8724,-77.99986,9.677906,0.6786079,-61.62162,15.94729,17.06619
29,-69.81075,26.57753,8.8724,-77.99986,15.94729,0.6786079,-61.62162,22.21667,17.06619
30,-69.81075,3.323892,25.25998,-77.99986,-9.130241,17.06619,-61.62162,-2.860859,33.45378
31,-69.81075,9.593275,25.25998,-77.99986,-2.860859,17.06619,-61.62162,3.408524,33.45378
32,-69.81075,15.86266,25.25998,-77.99986,3.408524,17.06619,-61.62162,9.677906,33.45378
33,-69.81075,22.13204,25.25998,-77.99986,9.677906,17.06619,-61.62162,15.94729,33.45378
34,-69.81075,28.40142,25.25998,-77.99986,15.94729,17.06619,-61.62162,22.21667,33.45378
35,-69.81075,5.710566,41.64757,-77.99986,-9.130241,33.45378,-61.62162,-2.860859,49.84136
36,-69.81075,11.97995,41.64757,-77.99986,-2.860859,33.45378,-61.62162,3.408524,49.84136
37,-69.81075,18.24933,41.64757,-77.99986,3.408524,33.45378,-61.62162,9.677906,49.84136
38,-69.81075,24.51871,41.64757,-77.99986,9.677906,33.45378,-61.62162,15.94729,49.84136
39,-69.81075,30.7881,41.64757,-77.99986,15.94729,33.45378,-61.62162,22.21667,49.84136
40,-69.81075,3.83296,58.03515,-77.99986,-9.130241,49.84136,-61.62162,-2.860859,66.22894
41,-69.81075,10.10234,58.03515,-77.99986,-2.860859,49.84136,-61.62162,3.408524,66.22894
42,-69.81075,16.37173,58.03515,-77.99986,3.408524,49.84136,-61.62162,9.677906,66.22894
43,-69.81075,22.64111,58.03515,-77.99986,9.677906,49.84136,-61.62162,15.94729,66.22894
44,-69.81075,28.91049,58.03515,-77.99986,15.94729,49.84136,-61.62162,22.21667,66.22894
45,-69.81075,2.586227,74.42274,-77.99986,-9.130241,66.22894,-61.62162,-2.860859,82.61653
46,-69.81075,8.85561,74.42274,-77.99986,-2.860859,66.22894,-61.62162,3.408524,82.61653
47,-69.81075,15.12499,74.42274,-77.99986,3.408524,66.22894,-61.62162,9.677906,82.61653
48,-69.81075,21.39437,74.42274,-77.99986,9.677906,66.22894,-61.62162,15.94729,82.61653
49,-69.81075,27.66376,74.42274,-77.99986,15.94729,66.22894,-61.62162,22.21667,82.61653
50,-53.4325,2.498195,-73.06552,-61.62162,-9.130241,-81.25932,-45.24338,-2.860859,-64.87173
51,-53.4325,8.767578,-73.06552,-61.62162,-2.860859,-81.25932,-45.24338,3.408524,-64.87173
52,-53.4325,15.03696,-73.06552,-61.62162,3.408524,-81.25932,-45.24338,9.677906,-64.87173
53,-53.4325,21.30634,-73.06552,-61.62162,9.677906,-81.25932,-45.24338,15.94729,-64.87173
54,-53.4325,27.57573,-73.06552,-61.62162,15.94729,-81.25932,-45.24338,22.21667,-64.87173
55,-53.4325,1.500002,-56.67794,-61.62162,-9.130241,-64.87173,-45.24338,-2.860859,-48.48415
56,-53.4325,7.769384,-56.67794,-61.62162,-2.860859,-64.87173,-45.24338,3.408524,-48.48415
57,-53.4325,14.03877,-56.67794,-61.62162,3.408524,-64.87173,-45.24338,9.677906,-48.48415
58,-53.4325,20.30815,-56.67794,-61.62162,9.677906,-64.87173,-45.24338,15.94729,-48.48415
59,-53.4325,26.57753,-56.67794,-61.62162,15.94729,-64.87173,-45.24338,22.21667,-48.48415
60,-53.4325,1.500001,-40.29035,-61.62162,-9.130241,-48.48415,-45.24338,-2.860859,-32.09656
61,-53.4325,7.769384,-40.29035,-61.62162,-2.860859,-48.48415,-45.24338,3.408524,-32.09656
62,-53.4325,14.03877,-40.29035,-61.62162,3.408524,-48.48415,-45.24338,9.677906,-32.09656
63,-53.4325,20.30815,-40.29035,-61.62162,9.677906,-48.48415,-45.24338,15.94729,-32.09656
64,-53.4325,26.57753,-40.29035,-61.62162,15.94729,-48.48415,-45.24338,22.21667,-32.09656
65,-53.4325,1.759685,-23.90277,-61.62162,-9.130241,-32.09656,-45.24338,-2.860859,-15.70898
66,-53.4325,8.029068,-23.90277,-61.62162,-2.860859,-32.09656,-45.24338,3.408524,-15.70898
67,-53.4325,14.29845,-23.90277,-61.62162,3.408524,-32.09656,-45.24338,9.677906,-15.70898
68,-53.4325,20.56783,-23.90277,-61.62162,9.677906,-32.09656,-45.24338,15.94729,-15.70898
69,-53.4325,26.83722,-23.90277,-61.62162,15.94729,-32.09656,-45.24338,22.21667,-15.70898
70,-53.4325,2.407691,-7.515184,-61.62162,-9.130241,-15.70898,-45.24338,-2.860859,0.6786079
71,-53.4325,8.677074,-7.515184,-61.62162,-2.860859,-15.70898,-45.24338,3.408524,0.6786079
72,-53.4325,14.94646,-7.515184,-61.62162,3.408524,-15.70898,-45.24338,9.677906,0.6786079
73,-53.4325,21.21584,-7.515184,-61.62162,9.677906,-15.70898,-45.24338,15.94729,0.6786079
74,-53.4325,27.48522,-7.515184,-61.62162,15.94729,-15.70898,-45.24338,22.21667,0.6786079
75,-53.4325,1.499999,8.8724,-61.62162,-9.130241,0.6786079,-45.24338,-2.860859,17.06619
76,-53.4325,7.769382,8.8724,-61.62162,-2.860859,0.6786079,-45.24338,3.408524,17.06619
77,-53.4325,14.03876,8.8724,-61.62162,3.408524,0.6786079,-45.24338,9.677906,17.06619
78,-53.4325,20.30815,8.8724,-61.62162,9.677906,0.6786079,-45.24338,15.94729,17.06619
79,-53.4325,26.57753,8.8724,-61.62162,15.94729,0.6786079,-45.24338,22.21667,17.06619
80,-53.4325,1.499999,25.25998,-61.62162,-9.130241,17.06619,-45.24338,-2.860859,33.45378
81,-53.4325,7.769381,25.25998,-61.62162,-2.860859,17.06619,-45.24338,3.408524,33.45378
82,-53.4325,14.03876,25.25998,-61.62162,3.408524,17.06619,-45.24338,9.677906,33.45378
83,-53.4325,20.30815,25.25998,-61.62162,9.677906,17.06619,-45.24338,15.94729,33.45378
84,-53.4325,26.57753,25.25998,-61.62162,15.94729,17.06619,-45.24338,22.21667,33.45378
85,-53.4325,1.937931,41.64757,-61.62162,-9.130241,33.45378,-45.24338,-2.860859,49.84136
86,-53.4325,8.207314,41.64757,-61.62162,-2.860859,33.45378,-45.24338,3.408524,49.84136
87,-53.4325,14.4767,41.64757,-61.62162,3.408524,33.45378,-45.24338,9.677906,49.84136
88,-53.4325,20.74608,41.64757,-61.62162,9.677906,33.45378,-45.24338,15.94729,49.84136
89,-53.4325,27.01546,41.64757,-61.62162,15.94729,33.45378,-45.24338,22.21667,49.84136
90,-53.4325,4.942466,58.03515,-61.62162,-9.130241,49.84136,-45.24338,-2.860859,66.22894
91,-53.4325,11.21185,58.03515,-61.62162,-2.860859,49.84136,-45.24338,3.408524,66.22894
92,-53.4325,17.48123,58.03515,-61.62162,3.408524,49.84136,-45.24338,9.677906,66.22894
93,-53.4325,23.75061,58.03515,-61.62162,9.677906,49.84136,-45.24338,15.94729,66.22894
94,-53.4325,30.02,58.03515,-61.62162,15.94729,49.84136,-45.24338,22.21667,66.22894
95,-53.4325,3.388038,74.42274,-61.62162,-9.130241,66.22894,-45.24338,-2.860859,82.61653
96,-53.4325,9.657421,74.42274,-61.62162,-2.860859,66.22894,-45.24338,3.408524,82.61653
97,-53.4325,15.9268,74.42274,-61.62162,3.408524,66.22894,-45.24338,9.677906,82.61653
98,-53.4325,22.19619,74.42274,-61.62162,9.677906,66.22894,-45.24338,15.94729,82.61653
99,-53.4325,28.46557,74.42274,-61.62162,15.94729,66.22894,-45.24338,22.21667,82.61653
100,-37.05426,1.701862,-73.06552,-45.24338,-9.130241,-81.25932,-28.86514,-2.860859,-64.87173
101,-37.05426,7.971244,-73.06552,-45.24338,-2.860859,-81.25932,-28.86514,3.408524,-64.87173
102,-37.05426,14.24063,-73.06552,-45.24338,3.408524,-81.25932,-28.86514,9.677906,-64.87173
103,-37.05426,20.51001,-73.06552,-45.24338,9.677906,-81.25932,-28.86514,15.94729,-64.87173
104,-37.05426,26.77939,-73.06552,-45.24338,15.94729,-81.25932,-28.86514,22.21667,-64.87173
105,-37.05426,1.500002,-56.67794,-45.24338,-9.130241,-64.87173,-28.86514,-2.860859,-48.48415
106,-37.05426,7.769384,-56.67794,-45.24338,-2.860859,-64.87173,-28.86514,3.408524,-48.48415
107,-37.05426,14.03877,-56.67794,-45.24338,3.408524,-64.87173,-28.86514,9.677906,-48.48415
108,-37.05426,20.30815,-56.67794,-45.24338,9.677906,-64.87173,-28.86514,15.94729,-48.48415
109,-37.05426,26.57753,-56.67794,-45.24338,15.94729,-64.87173,-28.86514,22.21667,-48.48415
110,-37.05426,1.761205,-40.29035,-45.24338,-9.130241,-48.48415,-28.86514,-2.860859,-32.09656
111,-37.05426,8.030588,-40.29035,-45.24338,-2.860859,-48.48415,-28.86514,3.408524,-32.09656
112,-37.05426,14.29997,-40.29035,-45.24338,3.408524,-48.48415,-28.86514,9.677906,-32.09656
113,-37.05426,20.56935,-40.29035,-45.24338,9.677906,-48.48415,-28.86514,15.94729,-32.09656
114,-37.05426,26.83874,-40.29035,-45.24338,15.94729,-48.48415,-28.86514,22.21667,-32.09656
115,-37.05426,16.27615,-23.90277,-45.24338,-9.130241,-32.09656,-28.86514,-2.860859,-15.70898
116,-37.05426,22.54553,-23.90277,-45.24338,-2.860859,-32.09656,-28.86514,3.408524,-15.70898
117,-37.05426,28.81491,-23.90277,-45.24338,3.408524,-32.09656,-28.86514,9.677906,-15.70898
118,-37.05426,35.08429,-23.90277,-45.24338,9.677906,-32.09656,-28.86514,15.94729,-15.70898
119,-37.05426,41.35368,-23.90277,-45.24338,15.94729,-32.09656,-28.86514,22.21667,-15.70898
120,-37.05426,7.541941,-7.515184,-45.24338,-9.130241,-15.70898,-28.86514,-2.860859,0.6786079
121,-37.05426,13.81132,-7.515184,-45.24338,-2.860859,-15.70898,-28.86514,3.408524,0.6786079
122,-37.05426,20.08071,-7.515184,-45.24338,3.408524,-15.70898,-28.86514,9.677906,0.6786079
123,-37.05426,26.35009,-7.515184,-45.24338,9.677906,-15.70898,-28.86514,15.94729,0.6786079
124,-37.05426,32.61947,-7.515184,-45.24338,15.94729,-15.70898,-28.86514,22.21667,0.6786079
125,-37.05426,5.536605,8.8724,-45.24338,-9.130241,0.6786079,-28.86514,-2.860859,17.06619
126,-37.05426,11.80599,8.8724,-45.24338,-2.860859,0.6786079,-28.86514,3.408524,17.06619
127,-37.05426,18.07537,8.8724,-45.24338,3.408524,0.6786079,-28.86514,9.677906,17.06619
128,-37.05426,24.34475,8.8724,-45.24338,9.677906,0.6786079,-28.86514,15.94729,17.06619
129,-37.05426,30.61414,8.8724,-45.24338,15.94729,0.6786079,-28.86514,22.21667,17.06619
130,-37.05426,1.731472,25.25998,-45.24338,-9.130241,17.06619,-28.86514,-2.860859,33.45378
131,-37.05426,8.000854,25.25998,-45.24338,-2.860859,17.06619,-28.86514,3.408524,33.45378
132,-37.05426,14.27024,25.25998,-45.24338,3.408524,17.06619,-28.86514,9.677906,33.45378
133,-37.05426,20.53962,25.25998,-45.24338,9.677906,17.06619,-28.86514,15.94729,33.45378
134,-37.05426,26.809,25.25998,-45.24338,15.94729,17.06619,-28.86514,22.21667,33.45378
135,-37.05426,1.499998,41.64757,-45.24338,-9.130241,33.45378,-28.86514,-2.860859,49.84136
136,-37.05426,7.76938,41.64757,-45.24338,-2.860859,33.45378,-28.86514,3.408524,49.84136
137,-37.05426,14.03876,41.64757,-45.24338,3.408524,33.45378,-28.86514,9.677906,49.84136
138,-37.05426,20.30815,41.64757,-45.24338,9.677906,33.45378,-28.86514,15.94729,49.84136
139,-37.05426,26.57753,41.64757,-45.24338,15.94729,33.45378,-28.86514,22.21667,49.84136
140,-37.05426,4.009855,58.03515,-45.24338,-9.130241,49.84136,-28.86514,-2.860859,66.22894
141,-37.05426,10.27924,58.03515,-45.24338,-2.860859,49.84136,-28.86514,3.408524,66.22894
142,-37.05426,16.54862,58.03515,-45.24338,3.408524,49.84136,-28.86514,9.677906,66.22894
143,-37.05426,22.818,58.03515,-45.24338,9.677906,49.84136,-28.86514,15.94729,66.22894
144,-37.05426,29.08739,58.03515,-45.24338,15.94729,49.84136,-28.86514,22.21667,66.22894
145,-37.05426,3.25863,74.42274,-45.24338,-9.130241,66.22894,-28.86514,-2.860859,82.61653
146,-37.05426,9.528013,74.42274,-45.24338,-2.860859,66.22894,-28.86514,3.408524,82.61653
147,-37.05426,15.7974,74.42274,-45.24338,3.408524,66.22894,-28.86514,9.677906,82.61653
148,-37.05426,22.06678,74.42274,-45.24338,9.677906,66.22894,-28.86514,15.94729,82.61653
149,-37.05426,28.33616,74.42274,-45.24338,15.94729,66.22894,-28.86514,22.21667,82.61653
150,-20.67602,1.500003,-73.06552,-28.86514,-9.130241,-81.25932,-12.4869,-2.860859,-64.87173
151,-20.67602,7.769385,-73.06552,-28.86514,-2.860859,-81.25932,-12.4869,3.408524,-64.87173
152,-20.67602,14.03877,-73.06552,-28.86514,3.408524,-81.25932,-12.4869,9.677906,-64.87173
153,-20.67602,20.30815,-73.06552,-28.86514,9.677906,-81.25932,-12.4869,15.94729,-64.87173
154,-20.67602,26.57753,-73.06552,-28.86514,15.94729,-81.25932,-12.4869,22.21667,-64.87173
155,-20.67602,1.500002,-56.67794,-28.86514,-9.130241,-64.87173,-12.4869,-2.860859,-48.48415
156,-20.67602,7.769384,-56.67794,-28.86514,-2.860859,-64.87173,-12.4869,3.408524,-48.48415
157,-20.67602,14.03877,-56.67794,-28.86514,3.408524,-64.87173,-12.4869,9.677906,-48.48415
158,-20.67602,20.30815,-56.67794,-28.86514,9.677906,-64.87173,-12.4869,15.94729,-48.48415
159,-20.67602,26.57753,-56.67794,-28.86514,15.94729,-64.87173,-12.4869,22.21667,-48.48415
160,-20.67602,1.83352,-40.29035,-28.86514,-9.130241,-48.48415,-12.4869,-2.860859,-32.09656
161,-20.67602,8.102903,-40.29035,-28.86514,-2.860859,-48.48415,-12.4869,3.408524,-32.09656
162,-20.67602,14.37229,-40.29035,-28.86514,3.408524,-48.48415,-12.4869,9.677906,-32.09656
163,-20.67602,20.64167,-40.29035,-28.86514,9.677906,-48.48415,-12.4869,15.94729,-32.09656
164,-20.67602,26.91105,-40.29035,-28.86514,15.94729,-48.48415,-12.4869,22.21667,-32.09656
165,-20.67602,2.391775,-23.90277,-28.86514,-9.130241,-32.09656,-12.4869,-2.860859,-15.70898
