point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps
0,-60,0,-30,0,4.745387,1.9065,210.731
0,-60,0,-30,1,1.843836,2.285348,437.5701
0,-60,0,-30,2,1.835486,1.83329,544.8149
0,-60,0,-30,3,1.869005,1.962234,509.6233
0,-60,0,0,0,1.82332,2.496221,400.6056
0,-60,0,0,1,1.846204,2.178177,459.0996
0,-60,0,0,2,1.824905,2.02542,493.7248
0,-60,0,0,3,1.830127,1.989626,502.6069
0,-60,0,30,0,1.869483,2.171817,460.444
0,-60,0,30,1,1.882419,2.271286,440.2791
0,-60,0,30,2,1.885218,1.8003,530.4426
0,-60,0,30,3,1.90464,2.63005,380.2209
0,-60,90,-30,0,1.894639,2.03925,490.3764
0,-60,90,-30,1,1.900654,3.028214,330.2276
0,-60,90,-30,2,2.087049,2.563064,390.158
0,-60,90,-30,3,1.900339,2.033867,491.6743
0,-60,90,0,0,1.888563,2.100443,476.09
0,-60,90,0,1,1.882044,1.979789,505.1042
0,-60,90,0,2,1.879142,1.774673,532.1577
0,-60,90,0,3,1.851904,1.879534,532.0469
0,-60,90,30,0,1.871531,2.010477,497.3945
0,-60,90,30,1,1.857536,1.594134,538.3475
0,-60,90,30,2,1.866547,1.842763,535.7486
0,-60,90,30,3,1.8759,1.60652,533.0775
0,-60,180,-30,0,1.964783,1.57746,508.9621
0,-60,180,-30,1,1.808008,1.661463,553.0948
0,-60,180,-30,2,1.814664,1.50907,551.066
0,-60,180,-30,3,1.814153,1.584847,551.2216
0,-60,180,0,0,1.852143,1.703613,539.9151
0,-60,180,0,1,1.892864,1.476763,528.2999
0,-60,180,0,2,1.852894,1.517783,539.6964
0,-60,180,0,3,1.881805,1.797733,531.4047
0,-60,180,30,0,1.804902,1.616263,554.0466
0,-60,180,30,1,1.873536,1.530647,533.7501
0,-60,180,30,2,1.863646,1.565197,536.5826
0,-60,180,30,3,1.850573,1.49597,540.3732
0,-60,270,-30,0,1.797461,1.62323,556.3402
0,-60,270,-30,1,1.813811,1.562893,551.3253
