point_id,x,y,z,vol_min_x,vol_min_y,vol_min_z,vol_max_x,vol_max_y,vol_max_z
0,-48.16666,1.800001,-44.46667,-51.5,-1.67226,-47.8,-44.83333,1.32774,-41.13333
1,-48.16666,4.800001,-44.46667,-51.5,1.32774,-47.8,-44.83333,4.32774,-41.13333
2,-48.16666,1.800001,-37.8,-51.5,-1.67226,-41.13333,-44.83333,1.32774,-34.46666
3,-48.16666,4.800001,-37.8,-51.5,1.32774,-41.13333,-44.83333,4.32774,-34.46666
4,-48.16666,2.972029,-31.13334,-51.5,-1.67226,-34.46667,-44.83333,1.32774,-27.8
5,-48.16666,5.972029,-31.13334,-51.5,1.32774,-34.46667,-44.83333,4.32774,-27.8
6,-48.16666,4.000826,-24.46667,-51.5,-1.67226,-27.8,-44.83333,1.32774,-21.13333
7,-48.16666,7.000826,-24.46667,-51.5,1.32774,-27.8,-44.83333,4.32774,-21.13333
8,-48.16666,4.760147,-17.8,-51.5,-1.67226,-21.13333,-44.83333,1.32774,-14.46667
9,-48.16666,7.760147,-17.8,-51.5,1.32774,-21.13333,-44.83333,4.32774,-14.46667
10,-48.16666,4.778099,-11.13333,-51.5,-1.67226,-14.46667,-44.83333,1.32774,-7.800001
11,-48.16666,7.778099,-11.13333,-51.5,1.32774,-14.46667,-44.83333,4.32774,-7.800001
12,-48.16666,4.354162,-4.466667,-51.5,-1.67226,-7.8,-44.83333,1.32774,-1.133334
13,-48.16666,7.354162,-4.466667,-51.5,1.32774,-7.8,-44.83333,4.32774,-1.133334
14,-48.16666,3.893496,2.2,-51.5,-1.67226,-1.133334,-44.83333,1.32774,5.533333
15,-48.16666,6.893496,2.2,-51.5,1.32774,-1.133334,-44.83333,4.32774,5.533333
16,-48.16666,3.178038,8.866666,-51.5,-1.67226,5.533333,-44.83333,1.32774,12.2
17,-48.16666,6.178038,8.866666,-51.5,1.32774,5.533333,-44.83333,4.32774,12.2
18,-48.16666,2.2307,15.53333,-51.5,-1.67226,12.2,-44.83333,1.32774,18.86666
19,-48.16666,5.2307,15.53333,-51.5,1.32774,12.2,-44.83333,4.32774,18.86666
20,-48.16666,1.799999,22.2,-51.5,-1.67226,18.86666,-44.83333,1.32774,25.53333
21,-48.16666,4.799998,22.2,-51.5,1.32774,18.86666,-44.83333,4.32774,25.53333
22,-48.16666,1.799998,28.86667,-51.5,-1.67226,25.53333,-44.83333,1.32774,32.2
23,-48.16666,4.799998,28.86667,-51.5,1.32774,25.53333,-44.83333,4.32774,32.2
24,-48.16666,1.799998,35.53333,-51.5,-1.67226,32.2,-44.83333,1.32774,38.86666
25,-48.16666,4.799998,35.53333,-51.5,1.32774,32.2,-44.83333,4.32774,38.86666
