point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
0,-15,0,0,0,5.273463,4.87882,189.6287,1229944,0,1.000000,3944
0,-15,0,0,1,4.752043,7.867834,127.0998,699946,0,1.000000,3959
0,-15,0,0,2,4.394667,7.609392,131.4165,468773,0,1.000000,4202
0,-15,0,0,3,3.445965,6.616466,151.1381,227992,0,1.000000,2368
0,-15,45,0,0,6.682525,9.981454,100.1858,2779664,0,1.000000,10230
0,-15,45,0,1,6.12364,11.04269,90.55768,1366001,0,1.000000,9474
0,-15,45,0,2,5.663305,6.626478,150.9097,814042,0,1.000000,8911
0,-15,45,0,3,4.045893,7.589013,131.7695,386084,0,1.000000,3702
0,-15,90,0,0,5.538894,7.93073,126.0918,1988830,0,1.000000,7181
0,-15,90,0,1,4.962509,9.246301,108.1514,931446,0,1.000000,6458
0,-15,90,0,2,4.614827,9.26994,107.8756,562700,0,1.000000,6047
0,-15,90,0,3,3.483716,7.145272,139.9527,281277,0,1.000000,2299
0,-15,135,0,0,2.655232,2.260087,376.6149,157554,0,0.617206,777
0,-15,135,0,1,2.643627,5.515793,181.2976,98049,0,0.617206,658
0,-15,135,0,2,2.657007,5.4797,182.4918,89474,0,0.617206,635
0,-15,135,0,3,2.697353,5.361453,186.5166,81441,0,0.617206,523
0,-15,180,0,0,2.75101,1.991653,363.5029,73894,0,0.453725,383
0,-15,180,0,1,2.789308,5.310906,188.2918,60447,0,0.453725,354
0,-15,180,0,2,2.844672,5.399533,185.2012,58649,0,0.453725,323
0,-15,180,0,3,2.866927,5.240093,190.8363,58212,0,0.453725,317
0,-15,225,0,0,2.906932,1.9286,344.0053,56766,0,0.161416,272
0,-15,225,0,1,2.992606,5.29548,188.8403,52011,0,0.161416,254
0,-15,225,0,2,3.064218,5.386666,185.6436,51615,0,0.161416,247
0,-15,225,0,3,2.616252,5.266774,189.8696,51476,0,0.161416,244
0,-15,270,0,0,2.341342,1.722546,427.1055,60757,0,0.106382,240
0,-15,270,0,1,2.436028,5.732826,174.434,57681,0,0.106382,229
0,-15,270,0,2,3.473886,6.2541,159.8951,57530,0,0.106382,230
0,-15,270,0,3,3.906355,7.10416,140.7626,57715,0,0.106382,227
0,-15,315,0,0,3.405073,2.556147,293.6794,398743,0,1.000000,1123
0,-15,315,0,1,3.845393,7.809741,128.0452,252027,0,1.000000,1061
0,-15,315,0,2,2.996565,6.237346,160.3246,167196,0,1.000000,988
0,-15,315,0,3,2.775177,6.23114,160.4843,90885,0,1.000000,698
0,0,0,0,0,5.737335,5.28382,174.297,1755992,0,1.000000,5660
0,0,0,0,1,5.1854,8.42342,118.7166,936674,0,1.000000,4942
0,0,0,0,2,4.802969,7.649094,130.7345,563338,0,1.000000,4760
0,0,0,0,3,3.991074,6.923674,144.432,269467,0,1.000000,2742
0,0,45,0,0,7.552,9.296513,107.5672,2917921,0,1.000000,10674
0,0,45,0,1,6.728332,12.26973,81.5014,1413908,0,1.000000,9623
0,0,45,0,2,6.156971,13.15559,76.01331,859389,0,1.000000,9254
0,0,45,0,3,4.738935,7.977079,125.3592,414179,0,1.000000,3960
0,0,90,0,0,5.885312,7.8399,127.5527,2045810,0,1.000000,7331
0,0,90,0,1,5.102446,10.06875,99.3172,969603,0,1.000000,6608
0,0,90,0,2,4.970582,10.57112,94.59739,585381,0,1.000000,6254
0,0,90,0,3,3.782792,7.26476,137.6508,296557,0,1.000000,2450
0,0,135,0,0,2.996838,2.14354,333.685,181010,0,0.568168,884
0,0,135,0,1,2.879966,5.868746,170.3941,109630,0,0.568168,757
0,0,135,0,2,2.866039,5.741666,174.1655,96831,0,0.568168,732
0,0,135,0,3,2.726298,5.821365,171.781,86325,0,0.568168,545
0,0,180,0,0,2.642876,1.826467,378.3757,82244,0,0.375223,411
0,0,180,0,1,2.655437,5.274653,189.5859,63438,0,0.375223,359
0,0,180,0,2,2.609152,1.609493,383.2662,61211,0,0.375223,327
0,0,180,0,3,2.541705,5.347074,187.0182,60937,0,0.375223,320
0,0,225,0,0,2.563209,1.89986,390.136,68359,0,0.145237,304
0,0,225,0,1,2.618914,6.548626,152.7038,60208,0,0.145237,270
0,0,225,0,2,2.562116,5.704667,175.2951,59373,0,0.145237,263
0,0,225,0,3,2.528119,5.11584,195.4713,59065,0,0.145237,257
0,0,270,0,0,2.97158,1.91592,336.5213,115306,0,0.092304,290
0,0,270,0,1,3.299328,5.699953,175.44,89877,0,0.092304,255
0,0,270,0,2,2.567851,5.316433,188.096,76752,0,0.092304,254
0,0,270,0,3,3.079031,5.8997,169.5002,65332,0,0.092304,248
0,0,315,0,0,3.642368,2.191953,274.5466,621794,0,1.000000,1646
0,0,315,0,1,3.513208,6.024007,166.0025,390784,0,1.000000,1490
0,0,315,0,2,3.376333,5.839041,171.261,243900,0,1.000000,1401
0,0,315,0,3,3.105912,5.754,173.7922,125367,0,1.000000,1030
0,15,0,0,0,5.586671,4.793787,178.9975,2044160,0,1.000000,6316
0,15,0,0,1,5.111193,8.043326,124.3267,1062185,0,1.000000,5274
