point_id,rot_x,rot_y,rot_z,optimal_thresholds,optimal_lod
0,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,-15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,0.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
0,15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
0,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,-15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,0.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
