point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
0,-15,0,0,0,5.75748,22.85758,43.74917,1358678,6140,0.000348,4519
0,-15,0,0,1,5.146309,22.03146,45.38963,737012,6146,0.000342,4135
0,-15,0,0,2,4.796279,22.28487,44.87349,456386,6171,0.000412,4056
0,-15,0,0,3,3.780766,22.69608,44.06048,221363,6169,0.000398,2323
0,-15,45,0,0,6.780074,28.98377,34.50206,2692530,14029,0.000328,9755
0,-15,45,0,1,5.991014,27.33301,36.5858,1319721,14033,0.000346,9250
0,-15,45,0,2,5.413871,27.25268,36.69365,810946,14042,0.000416,8900
0,-15,45,0,3,4.235264,23.99588,41.67381,376155,14042,0.000400,3537
0,-15,90,0,0,5.477219,25.24836,39.60653,1988063,8859,0.000157,7170
0,-15,90,0,1,4.750159,27.44012,36.44299,933315,8864,0.000170,6361
0,-15,90,0,2,4.545674,25.27135,39.5705,574210,8887,0.000199,6096
0,-15,90,0,3,3.60192,24.76435,40.38063,280653,8887,0.000208,2302
0,-15,135,0,0,2.930176,17.74637,56.34956,156784,419,0.001577,778
0,-15,135,0,1,2.728029,22.31865,44.80558,97682,420,0.001813,657
0,-15,135,0,2,2.692647,20.37531,49.07899,89204,422,0.002227,635
0,-15,135,0,3,2.594658,20.16905,49.58091,81281,421,0.002234,524
0,-15,180,0,0,2.490053,17.04041,58.68404,73457,111,0.002956,383
0,-15,180,0,1,2.475244,20.42879,48.95052,60090,111,0.003145,355
0,-15,180,0,2,2.515889,20.19115,49.52664,58747,111,0.003810,324
0,-15,180,0,3,2.436569,19.92725,50.18255,58232,111,0.003810,318
0,-15,225,0,0,2.38826,17.6188,56.75755,56702,24,0.004443,272
0,-15,225,0,1,2.367415,20.45507,48.88763,52262,25,0.005239,255
0,-15,225,0,2,2.396554,19.67448,50.82727,51547,25,0.006850,248
0,-15,225,0,3,2.329893,19.67804,50.81806,51387,25,0.006850,244
0,-15,270,0,0,2.479419,17.22415,58.05803,60813,11,0.007078,241
0,-15,270,0,1,2.706432,20.80205,48.07219,57408,11,0.007767,230
0,-15,270,0,2,2.833774,20.2147,49.46895,57239,11,0.008750,230
0,-15,270,0,3,2.917455,19.36603,51.63681,56831,11,0.008750,227
0,-15,315,0,0,3.82464,17.06848,58.58753,391096,573,0.002339,1095
0,-15,315,0,1,3.690496,20.20072,49.50319,249706,575,0.002346,1065
0,-15,315,0,2,3.62869,20.07142,49.82208,166731,588,0.002926,1009
0,-15,315,0,3,3.252067,19.73692,50.66647,89066,587,0.003101,693
0,0,0,0,0,5.75447,20.25057,49.38132,1689531,6402,0.000275,5365
0,0,0,0,1,5.123877,22.49134,44.46155,901337,6407,0.000271,4697
0,0,0,0,2,4.853321,22.30312,44.83678,551838,6416,0.000339,4615
0,0,0,0,3,3.866197,22.76091,43.93497,262480,6415,0.000328,2693
0,0,45,0,0,7.04064,28.43689,35.16559,2864768,14118,0.000283,10472
0,0,45,0,1,6.431318,27.59072,36.24408,1394531,14119,0.000292,9537
0,0,45,0,2,5.637852,27.22454,36.73156,844653,14125,0.000347,9057
0,0,45,0,3,4.329379,26.06585,38.36438,408204,14125,0.000329,3904
0,0,90,0,0,6.083899,22.57324,44.30024,2003174,9110,0.000137,7144
0,0,90,0,1,5.502158,24.73926,40.42159,953502,9114,0.000142,6515
0,0,90,0,2,5.204553,24.55641,40.72257,581595,9131,0.000171,6132
0,0,90,0,3,4.058033,23.66092,42.26378,292913,9130,0.000157,2428
0,0,135,0,0,3.635673,17.14304,58.33272,180579,491,0.001272,881
0,0,135,0,1,3.603237,19.97726,50.0569,109291,498,0.001443,756
0,0,135,0,2,3.700578,19.88502,50.28911,95324,497,0.001790,729
0,0,135,0,3,3.605724,19.57574,51.08363,86767,497,0.001795,543
0,0,180,0,0,3.630592,16.77661,59.60681,81839,111,0.002596,411
0,0,180,0,1,3.733797,19.61402,50.98395,63106,111,0.002769,358
0,0,180,0,2,3.840878,19.47964,51.33564,61503,111,0.003382,328
0,0,180,0,3,3.877022,19.21311,52.04781,61200,111,0.003382,321
0,0,225,0,0,3.190311,19.94255,50.14403,68948,28,0.004432,305
0,0,225,0,1,3.076827,20.05724,49.85732,60008,28,0.004869,270
0,0,225,0,2,3.034916,19.82874,50.43185,59305,28,0.006612,263
0,0,225,0,3,2.998126,19.8596,50.35348,59176,28,0.006612,257
0,0,270,0,0,2.72267,17.22265,58.06307,117035,11,0.006177,291
0,0,270,0,1,2.591159,20.24128,49.404,89880,11,0.006815,255
0,0,270,0,2,2.579675,20.38432,49.05731,76859,11,0.007765,254
0,0,270,0,3,2.511506,20.2851,49.29726,65569,11,0.007765,248
0,0,315,0,0,3.509931,17.39163,57.49892,615427,645,0.002083,1632
0,0,315,0,1,3.378491,21.15016,47.28098,384886,646,0.001950,1487
0,0,315,0,2,3.174195,19.76781,50.5873,240891,657,0.002529,1408
0,0,315,0,3,2.977005,20.76387,48.16058,123171,656,0.002527,1026
0,15,0,0,0,5.502757,27.01681,37.014,2076972,6191,0.000433,6506
0,15,0,0,1,4.975835,23.76637,42.07626,1060735,6197,0.000444,5342
0,15,0,0,2,4.732928,28.42253,35.18335,666123,6213,0.000534,5464
0,15,0,0,3,4.032434,22.81328,43.83411,327897,6213,0.000501,3224
0,15,45,0,0,6.910271,33.06381,30.24455,3078396,14054,0.000230,11076
0,15,45,0,1,6.267246,30.74743,32.52305,1487883,14052,0.000239,9994
0,15,45,0,2,5.705565,33.2744,30.05313,910039,14061,0.000296,9637
0,15,45,0,3,4.8,26.24072,38.10871,425762,14061,0.000307,4066
0,15,90,0,0,5.629243,27.6155,36.21155,2078041,8894,0.000248,7363
0,15,90,0,1,5.149989,26.0047,38.45459,961146,8890,0.000258,6503
0,15,90,0,2,4.949675,26.08177,38.34096,594673,8909,0.000291,6068
0,15,90,0,3,4.070838,23.29772,42.92266,302874,8907,0.000266,2422
0,15,135,0,0,3.397778,17.93732,55.74969,229239,447,0.001370,1000
0,15,135,0,1,3.042889,19.50685,51.26404,132410,447,0.001538,825
0,15,135,0,2,3.022297,20.42987,48.94794,111551,452,0.001905,806
0,15,135,0,3,2.892142,20.49787,48.78557,93603,452,0.001907,627
0,15,180,0,0,2.739639,17.85217,56.01559,88961,111,0.002803,420
0,15,180,0,1,2.692023,20.47024,48.85142,67016,111,0.002999,352
0,15,180,0,2,2.667725,19.32463,51.74742,65382,111,0.003692,321
0,15,180,0,3,2.645931,21.21113,47.14505,64661,111,0.003692,315
0,15,225,0,0,2.636564,16.83183,59.41124,81217,28,0.005182,349
0,15,225,0,1,2.582675,19.76153,50.60338,64039,28,0.005673,278
0,15,225,0,2,2.588306,19.45814,51.39237,63978,28,0.007931,271
0,15,225,0,3,2.558757,19.32876,51.73637,63218,28,0.007931,264
0,15,270,0,0,2.89408,17.94389,55.72927,295799,11,0.006611,552
0,15,270,0,1,2.805321,20.66358,48.39433,202567,11,0.007339,471
0,15,270,0,2,2.765971,19.76576,50.59253,140850,11,0.008463,472
0,15,270,0,3,2.693559,19.60753,51.00082,85456,11,0.008463,432
0,15,315,0,0,3.833088,16.87631,59.25467,857919,561,0.002262,2555
0,15,315,0,1,3.775331,20.224,49.44621,502920,564,0.002214,2254
0,15,315,0,2,3.756764,20.3063,49.2458,316494,574,0.002970,2082
0,15,315,0,3,3.421111,19.91135,50.22261,172373,574,0.002970,1669
1,-15,0,0,0,5.217674,22.58139,44.28425,1418824,5865,0.000375,5655
1,-15,0,0,1,5.205065,22.63196,44.18531,747278,5870,0.000398,5258
1,-15,0,0,2,4.98059,22.70574,44.04172,468704,5884,0.000482,5170
1,-15,0,0,3,3.952933,22.69332,44.06583,230406,5882,0.000461,2528
1,-15,45,0,0,7.256065,27.82192,35.94289,2951437,13634,0.000302,11271
