episode,step,cpu_frame_time,gpu_frame_time,fps,visible_renderer_count,triangle_count,draw_call_count,camera_speed,camera_rotation_speed,avg_screen_coverage,previous_bias,recent_lod_switch_count,lod_bias_before_action,action_delta,lod_bias_after_action
1,0,8.8058,6.3724,60.45,15365,1171762,7360,0.0000,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,1,16.1400,6.8291,33.66,15365,1228813,8009,3.3662,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,2,16.5506,7.1444,56.56,15365,1190930,7784,5.6551,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,3,16.6943,6.7451,71.64,15365,1189282,7788,7.1612,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,4,29.6927,7.4363,119.68,15365,1178081,7808,0.0000,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,5,18.0392,7.2980,60.21,15365,1187452,7804,6.0206,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,6,13.7128,7.2192,58.27,15365,1185563,7665,5.8272,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,7,7.7460,7.5602,56.87,15365,1106824,7809,5.6866,0.0000,0.002696,1.0000,0,1.0000,0.0000,1.0000
1,8,16.6176,7.2622,55.15,15365,1138497,7673,5.5150,0.0000,0.002696,1.0000,1,1.0000,0.0500,1.0500
1,9,17.7613,7.3820,88.62,15365,1170505,7700,8.8631,0.0000,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,10,16.9839,7.3421,52.14,15365,1166118,7685,0.0000,0.0000,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,11,19.2359,7.3196,51.03,15365,1178233,7774,5.1032,4.5149,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,12,10.7074,7.4309,89.04,15365,1167709,7753,8.9051,0.0000,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,13,19.2970,7.3073,47.41,15365,1117092,7492,4.7309,0.0000,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,14,19.0794,7.3124,81.74,15365,1132996,7578,8.1744,9.1467,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,15,11.4937,7.3001,43.28,15365,1147080,7400,4.3271,5.1370,0.002696,1.0500,1,1.0500,0.0000,1.0500
1,16,21.3001,7.3871,98.03,15365,1166969,7755,0.0000,23.5923,0.002696,1.0500,2,1.0500,-0.0500,1.0000
1,17,11.7630,7.1588,60.40,15365,1099821,7240,6.0415,3.3793,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,18,23.8078,7.1997,55.17,15365,1134042,7158,5.4991,5.7754,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,19,9.9246,7.2755,65.20,15365,1118158,7423,6.5252,5.1594,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,20,16.4147,7.0994,60.04,15365,1114021,7414,5.9973,4.7507,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,21,18.0738,7.3964,59.80,15365,1129246,7551,5.9826,5.7950,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,22,15.4337,7.0717,60.23,15365,1086592,7325,0.0000,4.7660,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,23,16.3770,7.3359,59.93,15365,1087947,7442,5.9705,4.7422,0.002696,1.0000,2,1.0000,0.0000,1.0000
1,24,16.9922,7.2243,60.09,15365,1114962,7491,6.0141,3.3624,0.002696,1.0000,3,1.0000,0.0500,1.0500
1,25,17.1752,7.4015,59.94,15365,1126591,7418,5.9981,3.3537,0.002696,1.0500,3,1.0500,0.0000,1.0500
1,26,16.1720,6.9929,59.79,15365,1096527,7348,5.9862,0.0000,0.002696,1.0500,3,1.0500,0.0000,1.0500
1,27,16.5982,7.4813,60.22,15365,1101938,7498,6.0132,0.0000,0.002696,1.0500,3,1.0500,0.0000,1.0500
1,28,16.6195,7.1823,59.81,15365,1111309,7303,0.0000,2.3663,0.002696,1.0500,3,1.0500,0.0000,1.0500
1,29,16.5483,7.0226,60.19,15365,1086705,7323,6.0399,3.3678,0.002696,1.0500,3,1.0500,0.0000,1.0500
1,30,16.7333,7.3718,59.74,14390,1073835,7207,5.9861,4.7273,0.000940,1.0500,3,1.0500,0.0000,1.0500
1,31,17.0144,7.3974,32.86,14390,666489,4838,6.5520,3.1842,0.000940,1.0500,3,1.0500,0.0000,1.0500
1,32,16.6987,6.0283,51.11,14390,677982,4880,5.1090,9.2672,0.000940,1.0500,4,1.0500,-0.0500,1.0000
1,33,16.5334,5.5644,74.75,14390,691730,4883,0.0000,13.5521,0.000940,1.0000,4,1.0000,0.0000,1.0000
1,34,31.0600,5.9515,162.63,14390,653385,4758,0.0000,23.1997,0.000940,1.0000,4,1.0000,0.0000,1.0000
1,35,18.6027,5.9064,57.67,14390,634413,4726,5.7694,0.0000,0.000940,1.0000,4,1.0000,0.0000,1.0000
1,36,13.7022,5.5132,55.66,14390,659676,4945,5.5710,5.3941,0.000940,1.0000,4,1.0000,0.0000,1.0000
1,37,6.3401,5.8143,84.19,14390,641319,4842,8.4712,6.6622,0.000940,1.0000,4,1.0000,0.0000,1.0000
